"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000000003,TSPAN6,278.2342,123.1346,79.0904,78.4832,105.3513,111.4199,82.0592,73.5619,280.4912,111.0584,46.8556,65.0657,60.1851,68.8031,96.097
ENSG00000000005,TNMD,79.198,47.9574,51.9183,18.4333,45.1418,18.3245,22.8588,78.3989,105.6955,57.3151,8.8804,7.7138,14.7261,11.0924,38.9519
ENSG00000000419,DPM1,1111.8214,588.0306,328.5728,318.2141,424.9129,896.9945,1021.555,1076.1064,2738.7486,1315.69,1065.1856,1073.9631,923.7284,1067.1098,1133.7307
ENSG00000000457,SCYL3,3374.3807,1855.9706,1011.8473,850.4478,1610.1431,950.8226,1261.2115,1275.7401,3147.158,1795.2258,802.8722,1762.6183,1114.5614,1292.8589,1459.535
ENSG00000000460,C1orf112,1270.6476,559.8957,337.8045,392.7653,544.5343,544.7351,345.1258,233.0765,1190.5146,658.2262,328.7195,385.6892,304.8638,483.7235,477.6628
ENSG00000000938,FGR,14995.9763,6058.1864,5097.6834,1426.3336,8702.6494,14725.6315,3027.2059,6256.1096,9902.0406,5792.1094,14673.6862,9538.2427,539.722,8225.9019,3276.9255
ENSG00000000971,CFH,553.335,275.7339,186.9854,132.2986,188.79,127.5896,165.5266,58.3587,389.4504,171.8523,71.4654,140.0003,78.2557,328.5385,165.579
ENSG00000001036,FUCA2,809.7725,440.6611,341.5786,384.6891,361.3717,675.7496,695.4496,366.9883,1774.2056,843.033,430.7034,658.8159,269.41,794.0555,494.0028
ENSG00000001084,GCLC,2461.6135,1231.0777,1089.1203,780.88,922.7691,3035.0813,4525.033,1916.7672,10521.9156,4066.0396,3830.0562,694.9312,1230.1893,5502.2329,2832.1602
ENSG00000001167,NFYA,4519.7894,2354.9091,1402.7836,1357.3076,2214.0613,1452.4264,1787.4039,1596.2624,5994.4154,2371.2291,1585.666,1755.7578,1612.4646,2252.7696,2352.0463
