SOCS1,CD3D,CCL4,IL7R,TSSC2,SAMSN1,PTPN7,CD300C,VSIG4,CXCL10,GPR84,CD300E,THBS1,FPR1,FSIP1,PDCD1LG2,MT1E,CCL5,GZMB,SEMA6B,AQP9,IL2RA,LILRB4,CD3G,CYTIP,CD209,PPBP,CCL7,CLEC5A,LRRC25,CCL4L2,IL18RAP,P2RY6,ITK,FLT4,KLRC1,CCL3,NKG7,IL2RB,GZMA,MT2A,IL1B,APOD,PRF1,GIMAP6,MT1G,IDO1,FCGR3A,CXCR6,FCER1G,IFIT3,BATF3,SLFN12L,IL10,SIGLEC7,GZMH,CD7,OLR1,S100A8,label
4.0,24.0,0.0,49.0,21.0,94.0,12.0,0.0,0.0,217.0,0.0,3.0,12745.0,0.0,23.0,7.0,5164.0,233.0,32.0,84.0,0.0,26.0,20.0,29.0,37.0,16.0,8.0,388.0,39.0,8.0,0.0,0.0,21.0,36.0,12.0,20.0,99.0,0.0,10.0,20.0,9130.0,91.0,88.0,0.0,17.0,3236.0,36.0,0.0,0.0,297.0,1024.0,6.0,13.0,21.0,0.0,8.0,0.0,21.0,38.0,0.0
5.0,14.0,0.0,97.0,19.0,51.0,17.0,5.0,0.0,214.0,1.0,3.0,8552.0,23.0,3.0,35.0,2460.0,352.0,4.0,135.0,5.0,18.0,0.0,44.0,96.0,22.0,2.0,147.0,5.0,5.0,0.0,0.0,2.0,17.0,7.0,5.0,219.0,0.0,0.0,4.0,12295.0,404.0,62.0,2.0,1.0,902.0,7.0,0.0,4.0,56.0,1958.0,20.0,15.0,23.0,0.0,6.0,2.0,52.0,53.0,1.0
7.0,8.0,0.0,46.0,27.0,43.0,13.0,12.0,44.0,134.0,19.0,4.0,11015.0,9.0,19.0,1.0,2671.0,206.0,47.0,66.0,0.0,0.0,11.0,28.0,26.0,2.0,4.0,22.0,14.0,10.0,0.0,9.0,20.0,22.0,9.0,6.0,35.0,5.0,3.0,14.0,5705.0,105.0,39.0,0.0,9.0,2091.0,31.0,0.0,1.0,236.0,1320.0,0.0,10.0,14.0,3.0,0.0,0.0,44.0,25.0,0.0
9.0,8.0,3.0,37.0,25.0,146.0,2.0,0.0,0.0,86.0,6.0,6.0,8314.0,10.0,21.0,0.0,6167.0,168.0,27.0,93.0,0.0,0.0,2.0,14.0,101.0,10.0,0.0,273.0,12.0,4.0,0.0,1.0,6.0,21.0,15.0,0.0,54.0,10.0,3.0,6.0,8423.0,59.0,56.0,3.0,8.0,4030.0,20.0,0.0,8.0,287.0,750.0,0.0,21.0,10.0,0.0,0.0,0.0,67.0,16.0,0.0
9.0,25.0,0.0,77.0,24.0,67.0,21.0,20.0,36.0,41.0,7.0,8.0,26648.0,6.0,17.0,0.0,5408.0,190.0,12.0,142.0,10.0,1.0,0.0,53.0,54.0,20.0,0.0,288.0,79.0,11.0,0.0,0.0,21.0,18.0,10.0,1.0,49.0,11.0,1.0,17.0,13175.0,131.0,274.0,10.0,18.0,5313.0,30.0,4.0,10.0,281.0,1125.0,15.0,14.0,75.0,0.0,0.0,0.0,68.0,35.0,1.0
10.0,7.0,0.0,47.0,85.0,29.0,7.0,0.0,40.0,55.0,9.0,14.0,15293.0,0.0,3.0,8.0,3268.0,149.0,25.0,159.0,24.0,0.0,0.0,31.0,24.0,9.0,0.0,90.0,22.0,10.0,0.0,0.0,22.0,24.0,9.0,3.0,65.0,6.0,4.0,4.0,6070.0,27.0,314.0,10.0,25.0,2168.0,12.0,8.0,20.0,141.0,1210.0,12.0,10.0,25.0,3.0,1.0,0.0,51.0,54.0,1.0
10.0,39.0,27.0,78.0,66.0,134.0,29.0,9.0,468.0,562.0,80.0,8.0,30993.0,34.0,4.0,0.0,5564.0,339.0,182.0,84.0,36.0,6.0,22.0,68.0,64.0,59.0,27.0,590.0,130.0,21.0,0.0,0.0,24.0,23.0,35.0,24.0,268.0,26.0,18.0,21.0,9452.0,362.0,549.0,1.0,57.0,5751.0,24.0,15.0,12.0,932.0,2126.0,29.0,31.0,39.0,15.0,27.0,0.0,94.0,206.0,1.0
10.0,51.0,7.0,46.0,88.0,70.0,33.0,11.0,28.0,1843.0,14.0,10.0,21846.0,1.0,26.0,0.0,27004.0,233.0,86.0,161.0,2.0,3.0,0.0,32.0,86.0,6.0,8.0,166.0,39.0,12.0,0.0,16.0,28.0,56.0,11.0,21.0,224.0,23.0,37.0,90.0,31743.0,182.0,953.0,27.0,30.0,28999.0,344.0,7.0,47.0,340.0,2723.0,0.0,39.0,51.0,13.0,0.0,8.0,28.0,101.0,1.0
11.0,43.0,9.0,94.0,14.0,183.0,5.0,3.0,122.0,238.0,18.0,8.0,12691.0,5.0,7.0,13.0,3770.0,226.0,63.0,8.0,39.0,38.0,19.0,23.0,70.0,36.0,0.0,214.0,78.0,4.0,0.0,14.0,6.0,42.0,11.0,12.0,190.0,9.0,0.0,42.0,7765.0,295.0,228.0,5.0,12.0,4165.0,316.0,7.0,16.0,503.0,2624.0,7.0,4.0,12.0,1.0,13.0,0.0,28.0,126.0,1.0
13.0,7.0,0.0,90.0,45.0,72.0,36.0,9.0,31.0,11.0,10.0,2.0,11864.0,19.0,50.0,4.0,3181.0,320.0,51.0,282.0,14.0,35.0,7.0,45.0,40.0,53.0,0.0,39.0,38.0,11.0,0.0,0.0,16.0,23.0,23.0,1.0,49.0,12.0,8.0,7.0,5604.0,23.0,152.0,5.0,28.0,3046.0,18.0,4.0,30.0,507.0,389.0,7.0,31.0,28.0,7.0,0.0,0.0,105.0,62.0,0.0
14.0,15.0,25.0,71.0,27.0,91.0,23.0,0.0,26.0,1106.0,31.0,3.0,13751.0,2.0,12.0,11.0,3795.0,212.0,81.0,89.0,18.0,24.0,2.0,35.0,39.0,39.0,3.0,119.0,27.0,13.0,0.0,1.0,39.0,22.0,6.0,6.0,240.0,20.0,9.0,40.0,8793.0,234.0,118.0,15.0,16.0,5520.0,172.0,0.0,8.0,333.0,2026.0,17.0,10.0,49.0,0.0,3.0,0.0,44.0,65.0,0.0
14.0,21.0,5.0,201.0,13.0,215.0,33.0,15.0,20.0,111.0,37.0,35.0,6721.0,7.0,19.0,28.0,1550.0,487.0,66.0,362.0,32.0,29.0,35.0,68.0,42.0,83.0,0.0,51.0,13.0,53.0,0.0,7.0,36.0,52.0,29.0,2.0,198.0,18.0,2.0,25.0,4723.0,323.0,930.0,4.0,22.0,1620.0,70.0,12.0,25.0,741.0,2020.0,12.0,26.0,80.0,11.0,5.0,2.0,116.0,131.0,0.0
15.0,2.0,0.0,73.0,34.0,67.0,21.0,4.0,4.0,16.0,3.0,7.0,6151.0,6.0,83.0,3.0,822.0,289.0,46.0,331.0,10.0,14.0,4.0,74.0,13.0,79.0,0.0,14.0,9.0,30.0,0.0,4.0,61.0,49.0,23.0,0.0,45.0,7.0,2.0,14.0,2747.0,9.0,284.0,1.0,41.0,427.0,70.0,7.0,18.0,205.0,336.0,4.0,58.0,40.0,7.0,0.0,0.0,49.0,44.0,0.0
15.0,27.0,0.0,163.0,31.0,185.0,20.0,9.0,35.0,88.0,11.0,15.0,12826.0,3.0,24.0,24.0,2836.0,433.0,35.0,199.0,15.0,2.0,0.0,69.0,24.0,71.0,13.0,140.0,26.0,15.0,0.0,1.0,25.0,41.0,21.0,16.0,350.0,10.0,9.0,7.0,8417.0,410.0,395.0,11.0,23.0,1712.0,49.0,7.0,9.0,565.0,1385.0,28.0,35.0,89.0,14.0,12.0,0.0,66.0,737.0,0.0
16.0,35.0,0.0,66.0,22.0,31.0,13.0,1.0,99.0,1679.0,14.0,11.0,4334.0,2.0,19.0,8.0,3127.0,196.0,88.0,93.0,34.0,13.0,2.0,32.0,41.0,36.0,13.0,26.0,6.0,2.0,0.0,19.0,32.0,25.0,12.0,1.0,69.0,12.0,0.0,40.0,8704.0,173.0,39.0,12.0,16.0,6689.0,88.0,0.0,4.0,263.0,2478.0,15.0,18.0,18.0,11.0,1.0,5.0,49.0,78.0,0.0
16.0,58.0,0.0,55.0,6.0,282.0,7.0,6.0,58.0,187.0,15.0,9.0,7520.0,1.0,35.0,6.0,1751.0,313.0,169.0,41.0,20.0,2.0,0.0,59.0,56.0,15.0,14.0,56.0,38.0,4.0,0.0,2.0,7.0,24.0,6.0,9.0,53.0,16.0,27.0,106.0,3981.0,220.0,99.0,13.0,18.0,664.0,116.0,10.0,35.0,265.0,2358.0,1.0,15.0,28.0,0.0,3.0,3.0,60.0,93.0,0.0
17.0,12.0,0.0,158.0,19.0,151.0,10.0,5.0,71.0,59.0,38.0,17.0,16089.0,3.0,24.0,9.0,3313.0,218.0,52.0,103.0,24.0,24.0,17.0,52.0,47.0,44.0,25.0,315.0,40.0,8.0,0.0,0.0,32.0,23.0,5.0,0.0,125.0,14.0,7.0,6.0,10073.0,183.0,584.0,4.0,23.0,3770.0,88.0,8.0,15.0,568.0,1065.0,10.0,9.0,38.0,2.0,0.0,0.0,124.0,111.0,0.0
18.0,1.0,3.0,33.0,99.0,75.0,9.0,12.0,75.0,42.0,7.0,0.0,14695.0,2.0,90.0,15.0,393.0,111.0,6.0,323.0,6.0,1.0,9.0,22.0,54.0,42.0,22.0,6.0,13.0,25.0,0.0,0.0,13.0,29.0,53.0,0.0,25.0,3.0,26.0,0.0,820.0,81.0,239.0,2.0,68.0,307.0,37.0,5.0,2.0,96.0,2005.0,0.0,7.0,16.0,6.0,0.0,13.0,87.0,56.0,0.0
18.0,5.0,6.0,90.0,21.0,145.0,6.0,4.0,12.0,63.0,0.0,17.0,9358.0,5.0,61.0,3.0,2017.0,141.0,58.0,63.0,13.0,10.0,10.0,18.0,32.0,51.0,0.0,98.0,21.0,21.0,0.0,1.0,31.0,38.0,26.0,3.0,72.0,6.0,0.0,19.0,5020.0,71.0,134.0,9.0,99.0,1746.0,56.0,1.0,8.0,394.0,739.0,16.0,7.0,10.0,14.0,0.0,0.0,93.0,60.0,0.0
19.0,7.0,5.0,75.0,27.0,123.0,27.0,14.0,21.0,43.0,63.0,19.0,16715.0,4.0,33.0,22.0,3031.0,247.0,13.0,176.0,48.0,15.0,3.0,40.0,47.0,38.0,5.0,270.0,74.0,20.0,0.0,1.0,32.0,44.0,22.0,9.0,298.0,24.0,21.0,10.0,8274.0,319.0,262.0,9.0,24.0,2589.0,8.0,8.0,2.0,603.0,1023.0,6.0,42.0,113.0,12.0,0.0,1.0,53.0,125.0,0.0
20.0,18.0,0.0,86.0,17.0,74.0,21.0,4.0,24.0,16.0,13.0,11.0,13195.0,0.0,11.0,8.0,1502.0,251.0,39.0,130.0,8.0,6.0,1.0,24.0,6.0,57.0,0.0,27.0,66.0,13.0,0.0,0.0,9.0,25.0,24.0,12.0,35.0,26.0,2.0,0.0,3531.0,38.0,67.0,9.0,12.0,1848.0,23.0,0.0,2.0,278.0,571.0,12.0,12.0,25.0,2.0,13.0,0.0,31.0,32.0,0.0
20.0,19.0,0.0,40.0,26.0,57.0,11.0,17.0,44.0,289.0,35.0,6.0,15079.0,0.0,20.0,11.0,3587.0,169.0,40.0,71.0,37.0,1.0,7.0,22.0,16.0,51.0,43.0,110.0,35.0,24.0,0.0,0.0,19.0,25.0,14.0,3.0,234.0,29.0,8.0,15.0,13418.0,580.0,126.0,6.0,17.0,1941.0,31.0,0.0,22.0,358.0,2793.0,32.0,33.0,31.0,5.0,4.0,0.0,80.0,103.0,0.0
20.0,36.0,0.0,31.0,13.0,31.0,6.0,0.0,15.0,215.0,11.0,2.0,11002.0,1.0,25.0,0.0,2574.0,117.0,31.0,55.0,0.0,30.0,5.0,43.0,7.0,19.0,0.0,215.0,17.0,3.0,0.0,0.0,3.0,9.0,15.0,0.0,59.0,4.0,0.0,19.0,7404.0,132.0,87.0,9.0,2.0,3879.0,8.0,20.0,1.0,235.0,642.0,0.0,15.0,19.0,19.0,0.0,3.0,74.0,56.0,0.0
21.0,8.0,1.0,83.0,23.0,143.0,7.0,4.0,13.0,66.0,1.0,3.0,8275.0,0.0,25.0,0.0,3207.0,158.0,57.0,41.0,6.0,8.0,7.0,24.0,41.0,16.0,5.0,62.0,42.0,8.0,1.0,6.0,5.0,19.0,3.0,0.0,91.0,5.0,4.0,25.0,6605.0,130.0,176.0,9.0,33.0,1394.0,71.0,8.0,9.0,229.0,985.0,5.0,22.0,20.0,0.0,6.0,0.0,24.0,50.0,0.0
21.0,14.0,0.0,42.0,4.0,48.0,2.0,7.0,99.0,932.0,14.0,14.0,4216.0,0.0,17.0,15.0,2456.0,138.0,42.0,36.0,61.0,9.0,15.0,18.0,18.0,28.0,22.0,193.0,9.0,3.0,0.0,4.0,13.0,5.0,9.0,12.0,72.0,21.0,21.0,25.0,4796.0,244.0,15.0,1.0,9.0,1747.0,59.0,4.0,13.0,311.0,2704.0,12.0,19.0,49.0,2.0,9.0,0.0,37.0,54.0,0.0
21.0,27.0,1.0,183.0,26.0,100.0,25.0,3.0,81.0,15.0,17.0,14.0,7600.0,7.0,12.0,4.0,5686.0,299.0,49.0,210.0,7.0,26.0,0.0,58.0,91.0,35.0,7.0,18.0,72.0,12.0,0.0,0.0,41.0,22.0,23.0,6.0,205.0,28.0,43.0,17.0,13492.0,157.0,261.0,0.0,37.0,4465.0,76.0,0.0,16.0,597.0,736.0,17.0,19.0,70.0,4.0,0.0,2.0,80.0,80.0,0.0
22.0,19.0,27.0,115.0,109.0,360.0,29.0,7.0,316.0,90.0,0.0,0.0,4338.0,33.0,214.0,13.0,380.0,144.0,60.0,522.0,39.0,24.0,47.0,17.0,288.0,363.0,0.0,16.0,55.0,48.0,0.0,16.0,62.0,27.0,68.0,1.0,114.0,23.0,6.0,82.0,631.0,49.0,264.0,6.0,127.0,566.0,111.0,77.0,4.0,1061.0,3425.0,11.0,26.0,33.0,30.0,4.0,1.0,341.0,0.0,0.0
22.0,34.0,12.0,116.0,36.0,142.0,9.0,0.0,23.0,132.0,20.0,17.0,13456.0,10.0,34.0,20.0,5744.0,227.0,32.0,93.0,32.0,2.0,3.0,30.0,27.0,13.0,0.0,63.0,17.0,12.0,0.0,19.0,61.0,19.0,18.0,8.0,210.0,14.0,12.0,31.0,13454.0,147.0,120.0,3.0,58.0,6035.0,100.0,1.0,2.0,294.0,983.0,28.0,31.0,25.0,0.0,1.0,2.0,47.0,29.0,0.0
24.0,27.0,3.0,106.0,23.0,255.0,12.0,19.0,90.0,69.0,20.0,5.0,9697.0,3.0,41.0,18.0,2039.0,240.0,50.0,54.0,7.0,13.0,43.0,20.0,33.0,64.0,7.0,84.0,15.0,17.0,0.0,0.0,21.0,7.0,24.0,9.0,154.0,27.0,4.0,22.0,4943.0,37.0,127.0,7.0,12.0,1028.0,16.0,27.0,3.0,779.0,1430.0,17.0,14.0,48.0,7.0,3.0,3.0,60.0,100.0,0.0
25.0,23.0,8.0,33.0,16.0,115.0,22.0,6.0,145.0,256.0,33.0,14.0,4404.0,4.0,27.0,18.0,7684.0,195.0,50.0,60.0,27.0,39.0,14.0,47.0,78.0,39.0,5.0,121.0,87.0,4.0,0.0,4.0,26.0,21.0,8.0,15.0,57.0,18.0,30.0,12.0,13618.0,422.0,88.0,19.0,17.0,11261.0,164.0,0.0,3.0,334.0,2296.0,1.0,19.0,35.0,6.0,0.0,0.0,70.0,58.0,0.0
25.0,27.0,2.0,104.0,39.0,193.0,13.0,14.0,22.0,183.0,33.0,15.0,27250.0,8.0,22.0,2.0,5250.0,100.0,33.0,62.0,38.0,4.0,0.0,31.0,2.0,60.0,0.0,385.0,34.0,9.0,0.0,2.0,67.0,12.0,21.0,0.0,120.0,20.0,10.0,25.0,11685.0,89.0,1167.0,2.0,49.0,3513.0,48.0,9.0,6.0,814.0,1843.0,15.0,9.0,50.0,16.0,3.0,7.0,53.0,88.0,0.0
26.0,7.0,2.0,201.0,12.0,73.0,15.0,3.0,46.0,152.0,7.0,6.0,11093.0,0.0,16.0,1.0,1313.0,149.0,53.0,102.0,25.0,6.0,2.0,40.0,68.0,42.0,3.0,104.0,15.0,10.0,0.0,9.0,28.0,21.0,23.0,12.0,185.0,18.0,16.0,7.0,4435.0,300.0,362.0,1.0,36.0,1984.0,37.0,0.0,8.0,344.0,2511.0,5.0,21.0,39.0,1.0,2.0,1.0,26.0,72.0,0.0
26.0,22.0,7.0,105.0,24.0,181.0,20.0,6.0,52.0,12.0,13.0,8.0,4580.0,3.0,22.0,8.0,1839.0,259.0,28.0,263.0,30.0,36.0,6.0,52.0,26.0,49.0,5.0,45.0,40.0,15.0,0.0,8.0,35.0,32.0,26.0,6.0,153.0,14.0,5.0,13.0,4713.0,172.0,80.0,21.0,32.0,687.0,44.0,6.0,8.0,534.0,941.0,12.0,37.0,42.0,12.0,0.0,3.0,73.0,96.0,0.0
