LPL,SEC63,ITSN1,CLEC7A,PLEKHA3,PFKFB2,HLA-DOA,JCHAIN,SKI,CBX1,RORB,SEL1L3,ALPK1,SDC2,SSBP3,BACE2,FGFR1,SPARCL1,PDK4,HES1,CIITA,YWHAG,MOSPD2,GNG10,IL21R,ATP6V1C1,BAG1,EMP1,OSBPL1A,MFAP4,TFRC,CEBPA,IGFBP5,AFF1,IL2RB,NPL,ATP2B4,P2RY14,KLHL6,TPPP3,TACC1,SCARA5,NUCKS1,CAPZA1,SCML4,PLIN1,FCHO2,SGMS2,PRMT5,PPM1A,SNX18,LYZ,IFIT3,CTSB,EFEMP1,STAG2,ASPH,CR1,ITGB2,RNF146,YBX3,RPL37A,DPY19L3,HBB,DIO2,HHEX,LCK,CALM2,SLA,QKI,TBC1D14,TCF7L2,SLAMF8,ALOX5,TPM1,SLC16A7,SNAP23,LATS2,PPT1,APMAP,CUTC,RAB32,PLEKHA5,AKAP12,PID1,KCNIP2,label
2225.0,2219.0,1075.0,78.0,163.0,73.0,0.0,0.0,411.0,449.0,3.0,741.0,212.0,164.0,409.0,2188.0,1193.0,3355.0,1228.0,581.0,48.0,3022.0,411.0,183.0,0.0,1130.0,219.0,687.0,37.0,66.0,24789.0,3488.0,4872.0,18893.0,1021.0,185.0,1342.0,95.0,87.0,2986.0,3526.0,28.0,1428.0,2050.0,0.0,7.0,444.0,795.0,599.0,1208.0,343.0,112.0,128.0,15060.0,3717.0,1625.0,453.0,87.0,269.0,618.0,703.0,2852.0,348.0,961.0,150.0,25.0,11.0,960.0,66.0,2860.0,670.0,300.0,31.0,85.0,931.0,67.0,2571.0,490.0,1547.0,1272.0,83.0,23.0,621.0,2089.0,366.0,108.0,1
1718.0,1839.0,705.0,86.0,166.0,119.0,0.0,0.0,481.0,413.0,6.0,2251.0,220.0,382.0,527.0,985.0,862.0,2637.0,1085.0,776.0,49.0,1719.0,317.0,273.0,12.0,821.0,328.0,873.0,60.0,290.0,11953.0,2526.0,5924.0,8347.0,104.0,350.0,1579.0,148.0,102.0,4457.0,2252.0,37.0,1717.0,1497.0,0.0,0.0,253.0,223.0,599.0,634.0,436.0,141.0,241.0,6562.0,10460.0,1315.0,677.0,88.0,242.0,511.0,1255.0,4039.0,307.0,1775.0,221.0,84.0,11.0,1942.0,97.0,1468.0,635.0,336.0,9.0,120.0,942.0,52.0,1775.0,592.0,1128.0,2107.0,85.0,25.0,496.0,936.0,273.0,47.0,1
3593.0,1997.0,933.0,103.0,218.0,57.0,10.0,2.0,1058.0,397.0,11.0,803.0,282.0,115.0,362.0,837.0,928.0,1864.0,940.0,898.0,86.0,1662.0,280.0,317.0,6.0,541.0,217.0,188.0,52.0,135.0,11993.0,1741.0,3799.0,8621.0,304.0,105.0,1112.0,99.0,110.0,7157.0,1905.0,41.0,1625.0,1753.0,1.0,0.0,200.0,423.0,649.0,903.0,215.0,225.0,177.0,8051.0,2467.0,1154.0,331.0,69.0,269.0,508.0,1414.0,3658.0,233.0,1204.0,135.0,51.0,6.0,1715.0,37.0,1095.0,536.0,177.0,27.0,109.0,1244.0,59.0,1618.0,396.0,1136.0,1516.0,117.0,20.0,671.0,1474.0,207.0,48.0,1
272.0,1953.0,881.0,116.0,208.0,108.0,0.0,0.0,1420.0,356.0,8.0,1105.0,233.0,294.0,427.0,1647.0,663.0,1881.0,1131.0,929.0,121.0,2490.0,405.0,198.0,4.0,1099.0,460.0,319.0,57.0,60.0,7821.0,2145.0,4895.0,14045.0,307.0,192.0,1402.0,104.0,88.0,10268.0,1921.0,31.0,1183.0,1592.0,0.0,5.0,311.0,589.0,565.0,1001.0,361.0,124.0,205.0,13721.0,4196.0,1448.0,369.0,100.0,262.0,596.0,1046.0,3068.0,379.0,1557.0,128.0,40.0,5.0,1156.0,50.0,2248.0,603.0,201.0,28.0,106.0,768.0,37.0,1991.0,850.0,901.0,2567.0,101.0,15.0,556.0,1761.0,333.0,44.0,1
674.0,1191.0,513.0,42.0,212.0,41.0,0.0,0.0,855.0,248.0,3.0,554.0,156.0,337.0,545.0,1317.0,1939.0,1074.0,1548.0,586.0,76.0,2318.0,150.0,288.0,2.0,760.0,289.0,283.0,49.0,100.0,6527.0,3717.0,4184.0,7402.0,660.0,136.0,896.0,48.0,78.0,14789.0,1309.0,41.0,1221.0,1366.0,0.0,4.0,205.0,300.0,780.0,840.0,186.0,189.0,81.0,10954.0,2720.0,995.0,326.0,54.0,333.0,352.0,1404.0,3208.0,137.0,1859.0,413.0,44.0,6.0,2042.0,56.0,1638.0,996.0,199.0,31.0,61.0,951.0,44.0,1929.0,570.0,502.0,3960.0,113.0,19.0,425.0,696.0,636.0,25.0,1
1973.0,2458.0,758.0,102.0,288.0,113.0,0.0,1.0,1037.0,638.0,7.0,1689.0,379.0,374.0,746.0,1643.0,1681.0,1863.0,1428.0,1032.0,194.0,3600.0,423.0,429.0,14.0,1093.0,342.0,549.0,103.0,448.0,10993.0,2529.0,7633.0,14665.0,1243.0,339.0,1739.0,107.0,136.0,5700.0,3301.0,18.0,2034.0,2099.0,0.0,5.0,344.0,560.0,793.0,1209.0,455.0,365.0,282.0,17551.0,7478.0,1779.0,787.0,90.0,622.0,761.0,1806.0,4445.0,590.0,2885.0,900.0,70.0,7.0,1940.0,118.0,3646.0,1159.0,700.0,70.0,326.0,2055.0,97.0,2358.0,963.0,2129.0,2437.0,121.0,26.0,1020.0,2669.0,565.0,43.0,1
292.0,3444.0,836.0,85.0,152.0,88.0,0.0,2.0,646.0,714.0,9.0,963.0,263.0,261.0,527.0,1406.0,2690.0,1740.0,1910.0,694.0,173.0,1930.0,470.0,342.0,5.0,1497.0,260.0,543.0,70.0,523.0,12201.0,2266.0,5138.0,19602.0,800.0,151.0,3008.0,44.0,123.0,4744.0,3123.0,15.0,1888.0,2060.0,1.0,6.0,647.0,594.0,664.0,1600.0,323.0,133.0,229.0,8254.0,5267.0,1749.0,713.0,87.0,133.0,588.0,1630.0,3404.0,277.0,2841.0,760.0,40.0,6.0,1912.0,86.0,3237.0,1245.0,603.0,13.0,407.0,2311.0,39.0,3781.0,719.0,998.0,2221.0,117.0,6.0,1030.0,3694.0,136.0,47.0,1
218.0,3097.0,1566.0,329.0,275.0,179.0,13.0,3.0,1198.0,795.0,4.0,1983.0,429.0,556.0,704.0,1769.0,2061.0,2195.0,1026.0,1588.0,456.0,3855.0,699.0,445.0,32.0,1207.0,378.0,967.0,160.0,867.0,14814.0,3026.0,10500.0,18871.0,3122.0,522.0,2818.0,321.0,183.0,4590.0,4085.0,18.0,2804.0,2454.0,5.0,11.0,671.0,1532.0,983.0,1404.0,624.0,1078.0,1056.0,20230.0,9348.0,2356.0,930.0,302.0,1189.0,867.0,2109.0,5462.0,400.0,6922.0,3116.0,84.0,6.0,2791.0,219.0,4097.0,1409.0,620.0,58.0,245.0,2782.0,169.0,3061.0,691.0,1879.0,3826.0,138.0,45.0,758.0,1755.0,356.0,81.0,1
421.0,2766.0,1142.0,175.0,289.0,48.0,0.0,14.0,715.0,478.0,7.0,1138.0,354.0,206.0,540.0,1709.0,1150.0,1505.0,1039.0,1489.0,127.0,2272.0,656.0,330.0,4.0,1215.0,280.0,223.0,86.0,652.0,6432.0,1964.0,4359.0,11320.0,615.0,208.0,1491.0,73.0,123.0,9158.0,2489.0,40.0,1656.0,1964.0,2.0,5.0,318.0,625.0,700.0,1119.0,366.0,271.0,187.0,18492.0,6126.0,1242.0,475.0,97.0,316.0,515.0,1978.0,3609.0,186.0,5271.0,765.0,57.0,7.0,1400.0,59.0,1350.0,691.0,307.0,49.0,107.0,1334.0,253.0,1635.0,738.0,1470.0,1425.0,140.0,24.0,1002.0,1023.0,407.0,54.0,1
1291.0,1998.0,893.0,138.0,190.0,55.0,0.0,0.0,832.0,461.0,13.0,956.0,216.0,434.0,465.0,988.0,1155.0,1802.0,1909.0,763.0,129.0,1997.0,253.0,302.0,7.0,675.0,345.0,780.0,63.0,449.0,10150.0,1317.0,4087.0,13161.0,237.0,215.0,1491.0,48.0,144.0,5742.0,1914.0,13.0,2228.0,1455.0,1.0,3.0,460.0,669.0,591.0,793.0,494.0,205.0,193.0,5484.0,4843.0,1488.0,586.0,106.0,375.0,561.0,1285.0,4480.0,471.0,5431.0,89.0,46.0,16.0,1827.0,59.0,1634.0,734.0,240.0,25.0,118.0,1268.0,85.0,2491.0,580.0,779.0,2167.0,99.0,28.0,747.0,1328.0,374.0,74.0,0
