,p_value
TSPAN6,0.4167668111446078
TNMD,0.4802627002301847
DPM1,0.0246545518523675
SCYL3,0.5635854068283728
C1orf112,0.47067530157980375
FGR,0.9004072701186271
CFH,0.19262377953494478
FUCA2,0.26768331248535376
GCLC,0.07224733120420467
NFYA,0.8996382631307681
STPG1,0.7183775735639837
NIPAL3,0.3018313759147825
LAS1L,0.7593536936110752
ENPP4,0.0783808272524575
SEMA3F,0.10516242320464206
CFTR,0.020820240689563573
ANKIB1,0.06359943913218442
CYP51A1,0.003993565903551857
KRIT1,0.46958677222034306
RAD52,0.8619744191232348
BAD,0.1781429111223866
LAP3,0.032733265802935424
CD99,0.006294768066515715
HS3ST1,0.9307094140775184
AOC1,0.14657049603530384
WNT16,0.4940866045976451
HECW1,0.18436690460695299
MAD1L1,0.22402375276028305
LASP1,0.009430997790635318
SNX11,0.14403873981227255
TMEM176A,0.15524419073679063
M6PR,0.017188441950342172
KLHL13,0.0892067048464327
CYP26B1,0.9439947798880353
ICA1,0.09092361660954285
DBNDD1,0.022503040642883727
ALS2,0.7521319242199267
CASP10,0.007282008830910681
CFLAR,0.37324284854820444
TFPI,0.7473250918786688
NDUFAF7,0.9236462488524213
RBM5,0.7153614466962934
MTMR7,0.01376638790735824
SLC7A2,0.05189751252466711
ARF5,0.12527963078115492
SARM1,0.8841072152958641
POLDIP2,0.07800207085922511
PLXND1,0.027238237327500508
AK2,0.25621902994608964
CD38,0.027200176708700365
FKBP4,0.0012603882002529896
KDM1A,0.3653884898536316
RBM6,0.7463012529920574
CAMKK1,0.03673380475729549
RECQL,0.03148393912693964
VPS50,0.5580769712570205
HSPB6,0.2372777493079414
ARHGAP33,0.15142135769357845
NDUFAB1,0.039016460670046785
PDK4,0.1611362334278265
SLC22A16,0.08444500753570867
ZMYND10,0.47313463950434165
ABCB5,0.1101353902016913
ARX,0.28887684540249586
SLC25A13,0.7237832754807789
ST7,0.13499089900261266
CDC27,0.06109009437853225
SLC4A1,0.1574110605249098
CALCR,0.9882745796943719
HCCS,0.020017869420408178
DVL2,0.033748967008969
PRSS22,0.3446273592320964
UPF1,0.035321659191268694
SKAP2,0.8474419115875947
SLC25A5,0.7229250053195369
MCUB,0.27699490193218773
HOXA11,0.11036826107318735
POLR2J,0.06256432437911844
DHX33,0.4606395285123922
MEOX1,0.01898645890846769
THSD7A,0.004307351703789404
LIG3,0.9489786570323344
RPAP3,0.7324857374417286
ACSM3,0.00915764908120134
LOC81691,0.1933585126446892
CIAPIN1,0.0940541993463104
SPPL2B,0.3992848171824773
FAM214B,0.05412193640958782
COPZ2,0.1685800852838993
PRKAR2B,0.39249156791100526
MSL3,0.30007583459142995
CREBBP,0.8046574326670376
TSPOAP1,0.47496355712484384
MPO,0.0031168620100988005
PON1,0.056346798340202425
GCFC2,0.6435533019227662
WDR54,0.08696131858200701
CROT,0.9618904090494456
ABCB4,0.9175303609075235
KMT2E,0.2337334241323229
RHBDD2,0.03963395818951802
SOX8,0.6696622203326841
IBTK,0.26644908369085984
ZNF195,0.20575898497966236
MYCBP2,0.08598104880537992
FBXL3,0.1228720975733889
ITGAL,0.697503307134309
PDK2,0.3226152763418205
ITGA3,0.15034132592177646
ZFX,0.3416581540359729
LAMP2,0.017719898962704442
ITGA2B,0.0066094062973580175
ASB4,0.04298824196719815
GDE1,0.011635767643598948
C19orf60,0.43924467733547534
CRLF1,0.04572877520205946
OSBPL7,0.7141291702018742
TMEM98,0.061942189060934655
YBX2,0.19617674092513393
KRT33A,0.027520694776799953
MAP3K14,0.2440003433493986
ABCC8,0.5830910332454047
CACNG3,0.2338821807893472
TMEM132A,0.11520163371643756
AP2B1,0.023283536881092713
TAC1,0.055129370345314836
ZNF263,0.25526136156299317
CX3CL1,0.009238403128205336
SPATA20,0.30309929603461905
CACNA1G,0.26242373609646596
TNFRSF12A,0.26504800388126976
DLX6,0.292317019870897
MAP3K9,0.77566518096665
RALA,0.001696167432678394
BAIAP2L1,0.10042977447235377
KDM7A,0.6051783350057516
ETV1,0.006340045556699625
AGK,0.34421335481635096
ALDH3B1,0.7383944727118918
