,CLL_p_value,T2D_p_value
SNORA3B,3.491140294904459e-06,0.018432762889971786
LOC100506178,5.283605881197924e-06,0.028023812066767406
TATDN2,8.376896430617136e-06,9.072846164813053e-06
SNORD12B,8.924638164962246e-06,0.016685113623872434
FFAR1,1.820848987384203e-05,0.0001934142052953364
ENAM,1.8414908806007913e-05,0.00019207882381932722
KCNIP2,2.0044559518114762e-05,0.00013055939428990512
HLTF-AS1,2.393482734352581e-05,0.023094075785484173
ATP9B,3.6672397275835246e-05,0.002475177154114113
LITAF,3.6677600287456666e-05,0.027216570988809703
MIR216B,4.3931089767153566e-05,0.0060139658503043595
SHC3,4.526037213325598e-05,0.014781457135891
JUP,4.771147881756076e-05,0.026048935974383493
SNORA53,4.8461116556160674e-05,0.006649230725492692
SYNPO,5.513658224082588e-05,0.004384497349241015
SNORA55,5.58326721770006e-05,0.0027170827920180397
NBPF10,5.903030186145231e-05,0.03833149130110512
PARM1,5.9075167644332525e-05,1.6835466433619946e-05
PTPRK,6.333899189791295e-05,0.0019326731270114905
IL10RA,6.941854123904787e-05,0.0008828820463003559
PCDHA12,7.444584408059604e-05,0.00028926023312155787
LINC01238,8.153395345046369e-05,0.003169132979025749
LINC00641,9.354456368949834e-05,0.0005234393608125706
ZBTB9,9.543819224838196e-05,4.746755656351087e-05
LINC01798,9.775847735325074e-05,0.00011883712260521422
SNORA80B,0.00010122468434783557,0.015138445537566053
SEC14L1P1,0.00010285929519694074,0.009370679769669495
ANXA5,0.0001060610000394801,0.0013129260272020057
SNORD94,0.00010841496896482566,0.0024413593706309566
TMEFF2,0.00011701930206650512,0.010866297335134284
MIR616,0.00012259326031208452,0.0066635122313099615
MATN1,0.00014351569249199976,0.01170735787325482
SLC45A3,0.00014526846403836526,9.204228305491888e-05
MNX1-AS1,0.00014560589875335804,0.0001885656069673678
CERKL,0.00015006724992314222,5.2114338641482893e-05
LINC01237,0.00015416084422390126,0.004527434399910977
LINC00907,0.00015989931475826155,0.00035193902448011716
ADAM7,0.00016439735774337048,0.029440614673269864
ITGA4,0.00016636735085667406,0.015252377287557699
GPR75,0.00017575822184299448,2.121767440501894e-05
NME4,0.00017698043124685412,0.0020300124590405077
HPS6,0.00020036394951523475,0.0015747700996921177
SCN3A,0.0002259225574747949,0.00047847375527312197
TP53INP1,0.0002281546906890127,0.0006987722914962689
ZNHIT2,0.00022913101905114853,0.002552534968544566
SLBP,0.00023400501841231287,5.8878308035582516e-05
DNAJC5,0.0002481029800667441,5.883825735558813e-05
SLC39A1,0.00025635553440697337,0.00016855633944256796
