Feature,Lasso,Random Forest,SVM-RFE
IFIT3,0.07243350492931634,0.008678636059003571,20
PDCD1LG2,0.009638242863972059,0.0061652354543648286,26
LRRC25,0.007797859731573717,0.021960601257864136,6
FPR1,0.042820797595171024,0.008496410378979224,46
NKG7,0.027744362901417453,0.0424064422512964,1
CLEC5A,0.08648107321875256,0.011688450754061898,1
FSIP1,0.052554488609142774,0.027739516387599285,1
SIGLEC7,0.05955671588274717,0.007339946893204179,5
PTPN7,0.2417943088540681,0.06063241083591303,13
CD209,0.0424503203588792,0.007979493181244022,34
LILRB4,0.008281093080140842,0.009161805674236313,1
CXCL10,0.023510947616718063,0.005204643199547031,2
MT1E,0.013577810605471276,0.010926219395643609,15
GZMB,0.13121901886304177,0.007216568786932385,1
FLT4,0.014135865670232423,0.0053627354455384494,49
PPBP,0.0251245846908057,0.006421504548452559,28
SLFN12L,0.009928015006209712,0.030313640375460364,11
SEMA6B,0.09775070879648604,0.020504073414707218,1
BATF3,0.0003932767594830406,0.006377191790502677,27
VSIG4,0.008388567385708673,0.0071319424412676965,12
APOD,0.08340435956594033,0.02085466250007595,1
SOCS1,0.1380489586064196,0.012894003549048513,1
IL10,0.059466290696827545,0.005068372816933694,8
TSSC2,0.07506162020703569,0.010935446098222007,29
CCL7,0.05389852790995119,0.00907359462385733,24
