Feature,Lasso,Random Forest,SVM-RFE
SLA,0.4017283727068745,0.000990040375494583,45
MOSPD2,0.3428530448688717,0.018308780325636546,8
SLAMF8,0.15895210157049103,0.001938894316495155,23
SEL1L3,0.01431047647508409,0.02040961383455074,61
CAPZA1,0.07044678983656251,0.013191486704525524,69
IFIT3,0.004174096844761182,0.012310282905266416,32
TPM1,0.38862263273542524,0.026471207600880446,29
CBX1,0.6159609858957523,0.013142950000928612,13
PLIN1,0.04335236239070669,0.005530837418096679,41
SSBP3,0.20093934845154435,0.0023376743428615383,55
CTSB,0.16729566324865958,0.0076229345392102256,46
PPT1,0.4560886471731565,0.00926261992353367,27
ALPK1,0.09291936969472572,0.02448967714214022,22
SGMS2,0.14501925117323358,0.039656254223326096,26
GNG10,0.5300562166068855,0.004603685086836635,3
YBX3,0.3926107141946492,0.0011949055881921857,11
QKI,0.18587820105823782,0.0041112355061010755,1
LATS2,0.1762289294655214,0.001213478141691687,1
KCNIP2,0.04091209919849644,0.01968999881888962,31
AKAP12,0.021141323513039288,0.025245059173975567,48
FGFR1,0.1540532566516953,0.006375334830152638,5
OSBPL1A,0.1928733255989446,0.0064655215047470195,24
HES1,0.02047027723770628,0.016266256492583606,60
ASPH,0.39426907004922335,0.03317094846454572,54
PLEKHA3,0.7233961345852356,0.004106146613730864,1
NPL,0.14042225445177636,0.023332266424705855,16
LYZ,0.15125802967924395,0.028433706718682065,58
CLEC7A,0.2733272505019868,0.012729736655823533,51
BACE2,0.16636441084630366,0.006541845847138696,1
ITGB2,0.35401212781340635,0.0014505676983006155,62
APMAP,0.6486112616242924,0.00395680252424804,2
HLA-DOA,0.1489950382606628,0.004154891898678518,19
DIO2,0.13092998520568652,0.02807673239683869,66
LPL,0.03544401606161274,0.03384927360741928,40
PDK4,0.316584451576989,0.006957847641295867,35
KLHL6,0.07127995391478381,0.01960084075503622,37
TFRC,0.07040321428798815,0.002829260608869235,1
SDC2,0.02942508702443653,0.03302512645542918,63
RNF146,0.06551925292238063,0.0027555623901783723,34
PID1,0.13208134767506524,0.01723785483143371,65
PFKFB2,0.06283673117475914,0.0055919074633107605,12
IL2RB,0.013264813301086207,0.01373703877300362,10
FCHO2,0.08267685508834845,0.0054513618028748404,25
NUCKS1,0.28973857650808893,0.001982310156085821,39
HBB,0.16747071625180024,0.011628963741898413,30
CEBPA,0.11044939943740856,0.01042764097459826,1
