,p_value
TSPAN6,0.0005062773678733743
TNMD,0.4925056369193389
DPM1,1.5124209536729723e-07
SCYL3,5.484694795436959e-06
C1orf112,6.882377626700716e-07
FGR,0.3134315735331542
CFH,0.006432203641850672
FUCA2,1.2560953172240056e-05
GCLC,0.0019239196874325762
NFYA,8.99126085409877e-05
STPG1,1.3944759667070691e-05
NIPAL3,2.6115265157995814e-06
LAS1L,9.699003794761895e-07
ENPP4,5.1520473953076085e-06
SEMA3F,0.06706995224261716
CFTR,0.010809823940418607
ANKIB1,2.420925904182757e-05
CYP51A1,4.7136704741860945e-07
KRIT1,5.695082531230559e-06
RAD52,0.00010790234551112599
BAD,4.729541976175685e-05
LAP3,7.930212869033749e-05
CD99,0.00035466195671899253
HS3ST1,0.19651953377185685
AOC1,0.016992350042958997
WNT16,0.16460290772321887
HECW1,0.6837489722647996
MAD1L1,0.0017584310293275003
LASP1,0.0015971656309163617
SNX11,1.2818783876693134e-06
TMEM176A,0.00403390096140075
M6PR,3.1432244034619044e-06
KLHL13,0.007711180514857085
CYP26B1,0.3313958351682018
ICA1,8.085069705324945e-07
DBNDD1,0.023389204648982646
ALS2,3.6275590968488245e-06
CASP10,0.03452632765723713
CFLAR,0.0020126149868467383
TFPI,0.09192318354015402
NDUFAF7,1.5733020336136002e-07
RBM5,1.2758378931559674e-05
MTMR7,0.00015262562832519177
SLC7A2,0.0002824331243571156
ARF5,1.244265805895007e-05
SARM1,1.728454173759698e-05
POLDIP2,0.00018904011595450565
PLXND1,0.0005711046688798033
AK2,1.024131759852503e-06
CD38,0.49634918258106286
FKBP4,0.00010405006825971894
KDM1A,4.639422240995439e-05
RBM6,0.0002579705334312742
CAMKK1,4.289955342889057e-05
RECQL,4.196118089836003e-06
VPS50,4.0419986105502515e-06
HSPB6,0.008447791996655468
ARHGAP33,0.0002877713478895173
NDUFAB1,9.651633672432512e-06
PDK4,0.0008996046310904832
SLC22A16,0.0008623077756893756
ZMYND10,0.10477966811256814
ABCB5,0.3128863417263208
ARX,0.00196658840699864
SLC25A13,8.838837776052837e-06
ST7,1.448266325107039e-06
CDC27,7.674907845742246e-06
SLC4A1,0.1937087382227247
CALCR,0.001434524746057342
HCCS,1.0312338463071084e-06
DVL2,2.752444535033664e-05
PRSS22,0.009487968824455188
UPF1,0.000719942221428727
SKAP2,8.903430656042397e-05
SLC25A5,0.003406098632174126
MCUB,2.616312312987524e-05
HOXA11,0.3215096113637188
POLR2J,4.365184170200001e-08
DHX33,6.023980189846519e-05
MEOX1,0.7307682461860696
THSD7A,0.032312268972827955
LIG3,0.0004916423716674942
RPAP3,1.6297065995461364e-07
ACSM3,0.2899769062515122
